,Close,Date,High,Low,Open,Trades,Volume
0,313.81,2015-01-01,321.0,312.6,321.0,2350,3087.43655395
1,315.42,2015-01-02,317.01,311.96,313.82,2950,3467.59291089
2,282.0,2015-01-03,316.58,280.0,315.42,10301,21752.7191463
3,264.0,2015-01-04,289.39,255.0,280.0,16535,41441.2785529
4,276.8,2015-01-05,280.0,264.07,264.55,4321,9528.27100203
5,293.97,2015-01-09,305.0,272.45,299.0,3228,9914.24959431
6,275.59,2015-01-10,295.0,271.03,293.89,7881,28384.2525301
7,266.39,2015-01-11,280.94,262.08,275.6,6858,12437.8705109
8,267.42,2015-01-12,272.43,263.54,266.34,12421,10478.2502136
9,227.0,2015-01-13,268.15,216.0,267.1,33612,60443.2923209
10,171.41,2015-01-14,230.89,152.4,227.01,40417,124188.885083
11,210.98,2015-01-15,233.9,168.5,172.0,30036,83488.4161853
12,208.03,2015-01-16,223.15,198.04,210.69,22045,34723.3483525
13,199.69,2015-01-17,212.84,192.17,208.02,10760,19121.8894794
14,211.85,2015-01-18,222.0,195.02,199.69,9170,18129.0836238
15,216.34,2015-01-19,220.94,207.7,211.8,14202,13037.3991094
16,210.65,2015-01-20,216.81,201.98,216.01,9161,14096.0042647
17,227.16,2015-01-21,228.9,205.0,211.94,7838,23118.7411611
18,234.08,2015-01-22,239.0,226.01,227.75,7575,25299.685937
19,233.64,2015-01-23,240.0,225.55,234.08,6570,15268.2684862
20,249.19,2015-01-24,249.99,230.03,233.42,5672,13781.1084246
21,255.31,2015-01-25,257.0,241.33,249.33,7989,28760.9284279
22,274.8,2015-01-26,309.9,254.67,254.67,21348,55035.154921
23,263.98,2015-01-27,278.51,243.1,274.76,11354,19989.986445
24,236.07,2015-01-28,266.45,225.91,263.97,12103,23884.6118896
25,235.79,2015-01-29,242.18,220.0,236.07,14334,25977.8903216
26,228.98,2015-01-30,244.98,225.52,235.12,10581,20614.5026082
27,216.9,2015-01-31,234.8,215.75,228.06,7666,19208.2790529
28,226.93,2015-02-01,233.0,208.48,218.04,12506,18407.9731384
29,238.47,2015-02-02,241.98,221.79,226.93,8571,15612.7948996
30,227.99,2015-02-03,244.39,223.79,238.38,8414,17499.4032405
31,227.0,2015-02-04,231.0,220.02,227.94,9246,14829.0811932
32,216.81,2015-02-05,229.0,210.43,226.93,7845,12884.669041
33,223.37,2015-02-06,225.86,210.59,216.46,6397,10951.787094
34,228.3,2015-02-07,231.14,221.77,223.44,5498,9650.52838958
35,223.88,2015-02-08,232.89,217.28,228.78,6494,13742.2259287
36,220.9,2015-02-09,225.99,215.0,223.92,7086,19473.8186475
37,220.42,2015-02-10,222.0,215.0,220.91,5372,6881.52767698
38,219.55,2015-02-11,223.43,217.99,220.42,4209,10655.8267797
39,223.0,2015-02-12,223.09,218.01,219.57,3943,6964.60636718
40,237.0,2015-02-13,242.35,221.37,223.02,8003,21412.4590243
41,256.99,2015-02-14,259.31,236.9,237.0,7235,19824.4718947
42,235.63,2015-02-15,267.92,227.75,256.81,11153,29173.2709924
43,234.7,2015-02-16,241.23,229.2,235.61,6522,12394.8294063
44,244.7,2015-02-17,248.78,232.01,234.69,5724,12840.8846441
45,237.37,2015-02-18,247.0,232.01,244.6,5819,12818.8955816
46,240.59,2015-02-19,245.01,235.59,237.37,4019,8704.33972786
47,245.48,2015-02-20,249.32,239.41,240.61,4470,9342.68925514
48,245.41,2015-02-21,247.8,244.0,245.0,1729,2982.21200485
49,236.5,2015-02-22,247.42,232.48,245.84,3545,7751.62270757
50,239.65,2015-02-23,241.0,232.05,236.46,3806,6284.3906154
51,239.55,2015-02-24,240.97,236.07,239.63,3636,5033.5414986
52,237.97,2015-02-25,240.98,236.0,239.53,2746,3770.19495051
53,236.84,2015-02-26,238.55,234.01,237.99,3159,5492.00801445
54,252.78,2015-02-27,256.15,236.16,236.83,12292,21990.6898323
55,253.47,2015-02-28,254.56,245.2,252.29,3344,5626.62832387
56,258.34,2015-03-01,260.25,245.0,253.45,4782,9678.17855999
57,274.93,2015-03-02,277.0,255.61,257.95,7433,18015.2597941
58,281.0,2015-03-03,284.95,265.89,275.95,9129,20933.5703522
59,270.78,2015-03-04,283.88,264.94,281.03,8132,14242.6053679
60,273.09,2015-03-05,280.5,262.2,270.72,6495,11386.5033138
61,272.68,2015-03-06,276.46,269.0,273.46,4239,6804.40438568
62,276.71,2015-03-07,279.48,270.0,272.61,2797,5716.65477613
63,275.0,2015-03-08,277.57,271.12,276.71,2568,4423.68355503
64,287.12,2015-03-09,289.0,274.17,275.0,5894,11996.3187853
65,290.0,2015-03-10,296.8,283.96,287.12,7877,13046.9170473
66,296.54,2015-03-11,296.79,285.83,290.0,4203,6737.50300267
67,295.31,2015-03-12,297.95,289.0,296.29,4154,7878.67396576
68,283.25,2015-03-13,295.66,282.99,295.66,5429,9610.54940209
69,282.01,2015-03-14,287.69,280.46,283.25,2838,5375.79972728
70,286.75,2015-03-15,287.75,281.42,282.36,1651,2430.04567943
71,289.27,2015-03-16,294.26,285.78,286.79,4101,6499.91827306
72,282.8,2015-03-17,292.99,281.9,289.27,3699,6444.24322793
73,256.45,2015-03-18,284.0,249.02,282.8,8989,21654.6820714
74,261.81,2015-03-19,265.95,249.0,256.59,7193,15015.7417187
75,261.96,2015-03-20,265.27,257.0,261.97,4869,5678.38004156
76,260.0,2015-03-21,262.49,256.25,261.92,3902,4616.58175131
77,267.74,2015-03-22,272.0,259.24,260.0,3563,5976.83852547
78,265.94,2015-03-23,270.07,259.5,268.28,5680,8598.09818465
79,245.0,2015-03-24,266.52,241.84,265.98,9073,18843.3816931
80,246.94,2015-03-25,250.0,236.4,245.0,7516,12822.0003706
81,249.23,2015-03-26,253.75,244.91,246.99,5374,8331.89287224
82,247.94,2015-03-27,250.52,245.12,249.23,4735,6036.20647768
83,252.87,2015-03-28,253.83,247.25,247.93,3454,5685.6395593
84,242.0,2015-03-29,252.96,239.96,252.91,4232,6690.22838851
85,247.95,2015-03-30,248.86,236.52,242.41,6726,7951.74713786
86,244.24,2015-03-31,248.59,238.55,247.95,6370,8114.08955665
87,246.69,2015-04-01,246.83,239.32,243.93,5391,6226.01646439
88,253.28,2015-04-02,256.96,244.52,246.68,5663,9806.82220308
89,254.19,2015-04-03,256.67,251.23,253.22,5011,5048.57737559
90,253.7,2015-04-04,255.85,250.76,254.19,2546,2769.28165782
91,260.54,2015-04-05,261.0,251.65,253.6,4150,5759.36016001
92,255.58,2015-04-06,262.98,254.0,260.57,4382,5960.67763299
93,253.72,2015-04-07,256.62,251.5,255.54,6379,6010.26758151
94,244.84,2015-04-08,254.96,243.06,253.71,9760,11611.1813595
95,243.43,2015-04-09,246.3,238.47,244.58,5628,7943.64950001
96,235.99,2015-04-10,243.94,231.0,243.75,6841,11549.6306565
97,236.15,2015-04-11,239.42,233.0,235.99,2954,4108.50400057
98,236.5,2015-04-12,237.5,233.42,236.09,2275,3173.32765095
99,223.15,2015-04-13,236.9,219.64,236.42,7388,13924.2267056
100,215.8,2015-04-14,224.79,210.0,222.97,11385,18582.1895753
101,222.88,2015-04-15,222.88,214.05,215.78,7896,9949.32442139
102,227.5,2015-04-16,229.67,222.44,222.83,7155,10834.8732868
103,222.6,2015-04-17,228.29,220.0,227.36,6608,7880.18476426
104,223.4,2015-04-18,224.72,220.32,222.6,5581,4620.31557899
105,222.54,2015-04-19,227.35,221.91,223.35,5816,5871.85303542
106,224.3,2015-04-20,226.51,221.43,222.54,5908,5966.8612393
107,235.74,2015-04-21,236.0,223.91,224.3,8043,9923.67825035
108,233.45,2015-04-22,238.64,229.1,235.71,8043,10710.5002402
109,235.98,2015-04-23,236.22,232.01,233.25,5657,8349.1678321
110,230.24,2015-04-24,236.0,228.0,235.61,7745,8474.6456857
111,226.12,2015-04-25,232.29,225.7,231.04,6086,5286.09859352
112,219.52,2015-04-26,227.26,214.98,226.12,9759,11238.3562881
113,227.23,2015-04-27,229.93,217.52,219.52,12570,13809.6168957
114,225.16,2015-04-28,227.56,221.45,227.17,11942,9345.78320741
115,225.48,2015-04-29,226.99,221.81,225.18,11460,8668.36064954
116,236.2,2015-04-30,240.0,224.6,225.5,9908,12490.2023598
117,231.0,2015-05-01,239.23,230.51,236.47,4251,6687.12335919
118,233.83,2015-05-02,234.9,229.87,231.05,3396,4350.05906771
119,239.0,2015-05-03,242.25,232.31,233.83,3268,4407.81416718
120,238.34,2015-05-04,242.2,236.07,239.73,6103,7504.68875392
121,235.12,2015-05-05,238.78,229.66,238.22,6800,8621.54731857
122,228.49,2015-05-06,235.94,227.01,235.18,7171,8155.87440936
123,236.87,2015-05-07,240.0,227.35,228.34,7412,11062.6491201
124,243.2,2015-05-08,246.57,235.29,236.92,6607,9486.75496765
125,241.96,2015-05-09,247.01,238.62,243.22,3543,5499.60615915
126,239.13,2015-05-10,244.99,238.02,241.83,2619,3519.78568561
127,241.3,2015-05-11,244.51,237.99,239.13,5118,9690.63948632
128,241.03,2015-05-12,242.0,237.54,241.3,4092,8417.71328249
129,235.97,2015-05-13,244.14,235.06,241.03,5137,9332.46630536
130,237.13,2015-05-14,239.7,232.22,235.97,4302,7530.5008083
131,237.37,2015-05-15,239.28,235.12,237.12,3410,4536.92896144
132,235.66,2015-05-16,237.4,234.0,237.39,2942,3116.78947332
133,235.97,2015-05-17,237.0,234.15,235.43,2105,2645.16140795
134,232.87,2015-05-18,236.94,231.44,235.69,3892,7443.21982028
135,231.4,2015-05-19,234.24,230.86,233.03,5041,5568.27679815
136,234.43,2015-05-20,234.86,231.0,231.4,7161,7823.35662916
137,235.0,2015-05-21,236.52,233.75,234.4,3447,4610.96622677
138,238.99,2015-05-22,240.9,232.92,235.0,5191,10451.7994845
139,237.76,2015-05-23,240.67,237.4,238.8,2450,3216.27981892
140,239.22,2015-05-24,241.64,237.66,237.87,2198,2921.54797112
141,235.59,2015-05-25,240.1,233.1,239.69,2705,5625.25842665
142,235.71,2015-05-26,237.96,234.0,235.72,4144,8590.07576695
143,235.17,2015-05-27,237.35,234.0,235.71,3397,8572.87348853
144,236.46,2015-05-28,236.8,234.87,235.32,3046,5005.98078357
145,236.03,2015-05-29,236.52,234.0,236.46,3489,6165.89141257
146,232.11,2015-05-30,236.03,231.0,236.03,2859,4245.94446818
147,228.91,2015-05-31,232.51,228.0,232.11,2584,4372.2083097
148,223.51,2015-06-01,231.2,220.65,228.91,5777,12184.9625438
149,225.18,2015-06-02,226.38,221.34,223.5,5731,7744.87861592
150,224.27,2015-06-03,226.99,222.57,225.17,7244,5815.57316073
151,222.99,2015-06-04,225.98,222.0,224.8,7441,4820.30796112
152,224.4,2015-06-05,225.9,219.03,222.99,9178,8396.71286165
153,224.99,2015-06-06,225.26,223.07,224.4,5387,2772.3311628
154,222.7,2015-06-07,225.48,221.86,224.95,6445,3324.38263427
155,228.17,2015-06-08,229.4,222.31,222.65,19970,8986.86692341
156,228.7,2015-06-09,230.79,226.67,228.05,16698,9129.70788714
157,227.88,2015-06-10,229.75,226.83,228.7,16450,6284.7185802
158,229.03,2015-06-11,229.57,227.25,227.8,17417,4727.33696291
159,229.4,2015-06-12,230.7,228.29,229.14,17287,5887.14828702
160,231.64,2015-06-13,232.04,228.06,229.3,12250,4009.80463805
161,232.09,2015-06-14,234.0,230.94,231.64,14380,3586.28113849
162,235.92,2015-06-15,237.09,231.55,232.08,20400,10505.5846552
163,250.09,2015-06-16,252.05,234.35,236.0,29622,17926.2600426
164,247.76,2015-06-17,257.39,243.2,250.02,33269,16059.4078007
165,248.4,2015-06-18,251.58,240.0,247.76,25591,10948.1719429
166,243.7,2015-06-19,249.93,242.14,248.45,21749,6632.40189711
167,244.76,2015-06-20,245.56,239.93,243.75,15323,4434.68706015
168,243.64,2015-06-21,245.0,241.06,244.65,13272,1946.29303002
169,246.0,2015-06-22,247.99,242.64,243.6,18238,5149.76385851
170,243.74,2015-06-23,247.25,242.14,245.99,20462,4953.90339619
171,240.19,2015-06-24,243.99,238.2,243.85,18336,6723.31332443
172,241.98,2015-06-25,242.9,239.18,240.19,23203,5002.93130218
173,242.98,2015-06-26,243.44,240.0,242.08,19466,5271.85106551
