,Close,Date,High,Low,Open,Trades,Volume
0,13.1,2016-03-15,13.421,11.98,12.572,2129,11162.2145095
1,12.548,2016-03-16,13.89,12.409,13.1,1298,6127.95278401
2,11.06,2016-03-17,12.62,10.436,12.548,2081,26283.3287559
3,10.99,2016-03-18,11.198,8.338,11.08,3223,45397.8284726
4,10.573,2016-03-19,11.17,9.776,10.99,1330,20588.7223595
5,10.268,2016-03-20,10.881,9.559,10.589,866,9578.3617029
6,11.8,2016-03-21,12.048,10.14,10.219,948,11712.7119321
7,11.201,2016-03-22,11.967,11.075,11.819,805,7852.67909554
8,12.42,2016-03-23,12.429,11.201,11.222,889,7704.35809232
9,11.18,2016-03-24,12.47,10.679,12.44,1268,14850.0330801
10,10.661,2016-03-25,11.353,10.52,11.231,888,12480.8322459
11,11.012,2016-03-26,11.2,10.58,10.661,585,4485.9518802
12,10.407,2016-03-27,10.981,10.172,10.981,1358,15987.4207366
13,11.7,2016-03-28,11.938,10.4,10.446,1585,22206.9413546
14,11.658,2016-03-29,11.883,11.365,11.777,1065,13840.3731702
15,11.848,2016-03-30,12.3,11.5,11.615,685,10370.3258549
16,11.386,2016-03-31,12.015,11.29,11.864,791,9481.14428797
17,11.624,2016-04-01,11.942,11.391,11.391,564,6350.58160783
18,11.658,2016-04-02,11.765,11.426,11.651,462,3477.60147772
19,11.61,2016-04-03,11.76,11.4,11.61,651,5388.04478383
20,11.15,2016-04-04,11.665,10.881,11.61,873,11117.2367804
21,10.858,2016-04-05,11.108,10.7,11.104,349,2626.3475501
22,10.62,2016-04-06,10.89,10.62,10.708,152,1868.011131
23,10.137,2016-04-07,10.847,9.405,10.692,478,14509.4480427
24,9.71,2016-04-08,10.34,9.6,10.06,426,7427.29123427
25,9.137,2016-04-09,10.197,9.0,9.72,1050,18728.0179403
26,8.931,2016-04-10,9.43,7.52,9.204,2689,53033.2659724
27,8.699,2016-04-11,8.9329,8.01,8.9299,806,17467.1494368
28,7.52,2016-04-12,8.65,7.211,8.65,1117,19081.8021033
29,8.05,2016-04-13,8.8,6.855,7.465,2003,40691.8151807
30,8.47,2016-04-14,8.86,8.0,8.053,875,10384.7304995
31,8.3199,2016-04-15,8.69,8.1,8.45,1017,8740.38986439
32,8.67,2016-04-16,8.68,8.1829,8.296,568,9202.43718581
33,9.29,2016-04-17,10.899,8.589,8.616,2374,28086.2784433
34,9.03,2016-04-18,9.55,8.908,9.29,172,1844.2846376
35,8.77,2016-04-19,9.379,8.6501,9.053,853,10791.8307835
36,8.5054,2016-04-20,9.047,8.3501,8.7401,3231,48848.6443542
37,8.189,2016-04-21,8.8,8.0,8.5,810,12852.9626514
38,7.91,2016-04-22,8.409,7.73,8.2247,1770,28045.6965054
39,8.399,2016-04-23,8.8,7.807,7.909,1911,26012.3287311
40,8.1919,2016-04-24,8.5,8.01,8.3484,1120,14892.6307364
41,7.56,2016-04-25,8.1735,7.3218,8.1735,2171,59461.4270729
42,7.42,2016-04-26,7.599,7.1205,7.56,2056,36991.4526519
43,7.837,2016-04-27,7.99,7.314,7.398,1445,26507.9854646
44,7.164,2016-04-28,7.87,7.15,7.75,1194,21318.5533943
45,7.402,2016-04-29,7.72,7.163,7.165,1147,14690.3371707
46,8.7208,2016-04-30,9.36,7.4351,7.4351,4116,77451.8484457
47,8.7911,2016-05-01,8.998,8.3503,8.727,1650,21749.5061269
48,10.079,2016-05-02,10.3,8.633,8.83,4064,85775.6908338
49,9.371,2016-05-03,10.079,9.183,10.079,2033,39479.3003895
50,9.361,2016-05-04,9.9991,9.253,9.381,1166,21599.6996522
51,9.75,2016-05-05,10.0,9.3,9.4,1323,19098.1540431
52,9.4325,2016-05-06,9.9768,9.1202,9.779,1639,26734.7561334
53,9.408,2016-05-07,9.644,9.2,9.45,650,9633.25179968
54,9.51,2016-05-08,9.64,9.0,9.408,1484,23125.1048832
55,9.361,2016-05-09,9.647,9.252,9.5,1334,22611.0306722
56,9.4,2016-05-10,9.47,9.28,9.36,488,5466.86807901
57,9.93,2016-05-11,9.98,9.391,9.3971,1852,31482.9374067
58,10.07,2016-05-12,10.472,9.79,9.93,2833,41337.2725881
59,10.564,2016-05-13,11.11,10.065,10.065,2900,56862.2232722
60,10.25,2016-05-14,10.675,9.71,10.564,2434,34420.8249634
61,10.008,2016-05-15,10.42,9.934,10.25,1223,12209.3288155
62,11.161,2016-05-16,11.47,9.968,9.968,2837,73690.5498653
63,12.174,2016-05-17,12.6,11.098,11.12,5605,154910.001997
64,13.595,2016-05-18,14.4,12.162,12.162,5448,124398.046242
65,14.7,2016-05-19,14.75,13.203,13.532,5965,116892.272698
66,13.571,2016-05-20,14.89,13.31,14.7,5401,100810.08413
67,14.05,2016-05-21,14.052,13.01,13.572,2069,60939.3730298
68,14.21,2016-05-22,14.51,13.624,14.04,2332,35618.7751372
69,13.509,2016-05-23,14.49,13.3,14.224,2833,51214.9340359
70,12.8,2016-05-24,13.82,12.0,13.38,5342,126111.780574
