,Close,Date,High,Low,Open,Trades,Volume
0,0.23819,2017-05-25,0.28541,0.23,0.2672,6598,2679542.63926
1,0.259,2017-05-26,0.32126,0.23609,0.2382,7722,6471791.591
2,0.20142,2017-05-27,0.272,0.1445,0.25817,4932,9271403.23826
3,0.21631,2017-05-28,0.23438,0.19,0.20191,7391,5827286.74816
4,0.22499,2017-05-29,0.23795,0.20194,0.21591,3719,3996564.86898
5,0.19823,2017-05-30,0.23128,0.19305,0.22405,3334,3930171.34233
6,0.23757,2017-05-31,0.244,0.17869,0.19762,5780,6323821.93922
7,0.32048,2017-06-01,0.3291,0.23387,0.236,12205,15957116.6449
8,0.28406,2017-06-02,0.32437,0.26394,0.32406,4068,6266532.25891
9,0.28058,2017-06-03,0.295,0.26016,0.28397,2654,3192016.5769
10,0.28842,2017-06-04,0.30249,0.26015,0.28385,2479,4477225.80948
11,0.28304,2017-06-05,0.29286,0.27849,0.28842,1626,1965642.62541
12,0.28111,2017-06-06,0.28988,0.26933,0.2846,5577,6621661.23151
13,0.27011,2017-06-07,0.29849,0.26839,0.28011,2850,3652429.20997
14,0.28249,2017-06-08,0.29576,0.26482,0.26999,2456,2263365.68437
15,0.28032,2017-06-09,0.2945,0.2793,0.28426,2066,2379934.11346
16,0.251,2017-06-10,0.2837,0.25051,0.28036,4447,4976747.2606
17,0.269,2017-06-11,0.27189,0.24987,0.251,2780,3763506.59265
18,0.23705,2017-06-12,0.26381,0.22001,0.2626,5178,7045304.7872
19,0.2597,2017-06-13,0.27544,0.23406,0.23986,4580,3642949.59995
20,0.25418,2017-06-14,0.29554,0.24249,0.26,7577,7736416.8648
21,0.24094,2017-06-15,0.26097,0.20347,0.25585,4584,3937659.65016
22,0.24599,2017-06-16,0.25024,0.22514,0.2385,2371,2166725.89972
23,0.257,2017-06-17,0.26195,0.23475,0.24601,3076,3964795.69338
24,0.26308,2017-06-18,0.27637,0.24347,0.257,2911,3985374.61868
25,0.28066,2017-06-19,0.28067,0.25806,0.264,2976,2805884.89316
26,0.301,2017-06-20,0.3237,0.275,0.28066,5757,8624549.7292
27,0.2691,2017-06-21,0.30863,0.25201,0.29982,3102,4715602.20542
28,0.2753,2017-06-22,0.28067,0.25823,0.2691,2387,2744138.34829
29,0.291,2017-06-23,0.29474,0.27408,0.2758,2297,2893329.79307
30,0.26902,2017-06-24,0.2998,0.2612,0.2907,2823,4036331.60899
31,0.255,2017-06-25,0.27675,0.24596,0.26968,2584,2677097.25969
32,0.24201,2017-06-26,0.26195,0.219,0.2557,5632,7465233.83544
33,0.25794,2017-06-27,0.25794,0.216,0.24201,3650,4934496.74984
34,0.263,2017-06-28,0.26645,0.24379,0.25794,2209,3326648.32342
35,0.25019,2017-06-29,0.2645,0.242,0.26297,2273,2075305.14309
36,0.24216,2017-06-30,0.2581,0.2413,0.24997,1441,1409512.26885
37,0.23252,2017-07-01,0.2451,0.2259,0.2438,1082,1672767.30495
38,0.24662,2017-07-02,0.24868,0.22901,0.23221,1555,1351885.01219
39,0.25064,2017-07-03,0.2561,0.24086,0.24662,3686,3120908.65466
40,0.246,2017-07-04,0.25653,0.24453,0.25014,1891,1689291.74485
41,0.24891,2017-07-05,0.25515,0.2422,0.246,1452,2143327.11118
42,0.24857,2017-07-06,0.25168,0.2463,0.25,1202,1579744.82858
43,0.22741,2017-07-07,0.2509,0.22648,0.24857,2304,3397364.47894
44,0.23,2017-07-08,0.23212,0.209,0.22741,2065,3767652.96945
45,0.22401,2017-07-09,0.24255,0.2237,0.23,1118,1256072.75361
46,0.18556,2017-07-10,0.22497,0.17631,0.22383,1730,6267364.44286
47,0.17492,2017-07-11,0.1964,0.148,0.186,6547,14091976.7307
48,0.19489,2017-07-12,0.19604,0.16102,0.17319,3465,7329070.46403
49,0.18929,2017-07-13,0.21718,0.1785,0.19638,2071,3735653.13008
50,0.18252,2017-07-14,0.192,0.17254,0.19027,2049,3260932.64927
51,0.17255,2017-07-15,0.18397,0.17167,0.18397,3230,3772395.92903
52,0.14707,2017-07-16,0.1744,0.129,0.1724,5587,13767657.4977
53,0.17208,2017-07-17,0.17302,0.14337,0.14873,3462,8257604.02389
54,0.17816,2017-07-18,0.1853,0.16,0.173,3316,3827882.21214
55,0.16259,2017-07-19,0.184,0.15752,0.17805,2137,3904395.09571
56,0.18943,2017-07-20,0.19575,0.16259,0.16259,4876,5098006.69118
57,0.18351,2017-07-21,0.19287,0.18187,0.19,2715,4016302.13526
58,0.19764,2017-07-22,0.20199,0.18101,0.1833,2736,5001855.21544
59,0.1974,2017-07-23,0.20743,0.1865,0.1979,4776,6440575.32377
60,0.19149,2017-07-24,0.19881,0.19,0.19701,23519,2545366.6584
61,0.17344,2017-07-25,0.19356,0.16633,0.19263,2354,5837549.68288
62,0.173,2017-07-26,0.179,0.16409,0.17479,2775,3569389.91164
63,0.172,2017-07-27,0.17575,0.16889,0.17364,3648,2408018.56957
64,0.16326,2017-07-28,0.17409,0.15608,0.17277,3504,3544333.67185
65,0.17011,2017-07-29,0.1715,0.15429,0.16348,1916,2524893.85882
66,0.16416,2017-07-30,0.17194,0.161,0.16941,1855,1994902.95281
67,0.164,2017-07-31,0.168,0.15812,0.16187,1410,2621221.09355
68,0.17733,2017-08-01,0.18496,0.1586,0.1645,3922,7378164.37538
69,0.172,2017-08-02,0.18,0.16808,0.17733,3793,5617927.97553
70,0.17438,2017-08-03,0.17773,0.16927,0.17086,5065,2977860.23775
71,0.17383,2017-08-04,0.177,0.17075,0.17436,2977,3169015.95774
72,0.18444,2017-08-05,0.192,0.17147,0.17383,6827,9223087.31193
73,0.17959,2017-08-06,0.1895,0.17804,0.18444,3541,3862002.2526
74,0.17722,2017-08-07,0.18228,0.1759,0.18049,4295,6168522.17836
75,0.196,2017-08-08,0.19908,0.1767,0.17883,9739,11662906.7268
76,0.18396,2017-08-09,0.196,0.18,0.196,3729,6009788.69989
77,0.17998,2017-08-10,0.18434,0.1777,0.1835,7343,4859882.93247
78,0.17716,2017-08-11,0.185,0.17546,0.18001,4319,10269311.4943
79,0.17051,2017-08-12,0.18246,0.17023,0.17726,5116,7259089.53253
80,0.16607,2017-08-13,0.17221,0.15844,0.1719,5785,8421063.6225
81,0.16792,2017-08-14,0.18049,0.16511,0.16594,5352,6447112.77706
82,0.1573,2017-08-15,0.16792,0.15179,0.16792,13175,11072129.0481
83,0.16051,2017-08-16,0.1606,0.14818,0.15877,5015,12067539.7214
84,0.15744,2017-08-17,0.16119,0.15351,0.16036,3160,7189371.47756
85,0.15674,2017-08-18,0.17147,0.1511,0.1572,6512,15025281.85
86,0.1527,2017-08-19,0.1616,0.14738,0.1571,5219,8759387.56854
87,0.15805,2017-08-20,0.16158,0.149,0.152,3406,7747833.09442
88,0.19599,2017-08-21,0.20881,0.1518,0.15815,11812,34167121.6946
89,0.2412,2017-08-22,0.26104,0.1701,0.1952,33100,80807276.6407
90,0.24638,2017-08-23,0.2999,0.2135,0.24207,40296,94892712.9741
91,0.21787,2017-08-24,0.28769,0.21107,0.24685,27524,60075332.2655
92,0.21691,2017-08-25,0.23089,0.201,0.21682,37223,33615308.908
93,0.21,2017-08-26,0.23087,0.2056,0.2169,11139,14009811.7624
94,0.20121,2017-08-27,0.21027,0.192,0.2096,7010,13956891.1051
95,0.225,2017-08-28,0.2425,0.194,0.20218,17740,44201517.4003
96,0.21955,2017-08-29,0.22673,0.21206,0.22515,11022,23561707.4622
97,0.23191,2017-08-30,0.23326,0.21602,0.21955,8625,15966414.5848
98,0.25856,2017-08-31,0.26526,0.2271,0.2319,9769,20503516.8661
99,0.25295,2017-09-01,0.26,0.241,0.2591,9433,18579871.0264
100,0.22363,2017-09-02,0.254,0.21811,0.25292,12689,19217240.8776
101,0.22914,2017-09-03,0.238,0.21067,0.22446,4360,13160565.7968
102,0.2024,2017-09-04,0.22985,0.1886,0.22914,8033,20992403.2481
103,0.2155,2017-09-05,0.2202,0.18862,0.20239,6365,14322693.282
104,0.2315,2017-09-06,0.23289,0.21458,0.2155,12037,11189315.1869
105,0.2274,2017-09-07,0.23198,0.22039,0.2315,4831,8021123.88476
106,0.21099,2017-09-08,0.22928,0.20134,0.227,5765,12000024.6238
107,0.21345,2017-09-09,0.21409,0.20617,0.21103,2569,4015304.3235
108,0.21651,2017-09-10,0.2243,0.19699,0.21239,4005,8722126.86031
109,0.2135,2017-09-11,0.22184,0.20799,0.21603,4274,10251537.249
110,0.20996,2017-09-12,0.224,0.2052,0.21349,4564,10275745.6313
111,0.1973,2017-09-13,0.20999,0.19066,0.20999,5126,9061852.77721
