Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2),Tweets
Jan 21 2018,1155.68,1155.68,1021.5,1049.58,3378090000,1.12226E+11,1088.59,19111
Jan 20 2018,1044.95,1167.11,1044.95,1155.15,3975190000,1.01451E+11,1106.03,25700
Jan 19 2018,1028.82,1093.22,1003.71,1039.1,4084450000,99863900000,1048.47,20334
Jan 18 2018,1016.44,1100.31,967.76,1036.28,5938320000,98642100000,1034.03,14776
Jan 17 2018,1061.34,1090.23,780.92,1014.25,8545160000,1.02974E+11,935.58,20980
Jan 16 2018,1292.63,1292.63,875.54,1053.69,8405140000,1.25389E+11,1084.09,23671
Jan 15 2018,1365.21,1390.59,1290.6,1291.92,4781100000,1.32404E+11,1340.59,24678
Jan 14 2018,1397.48,1400.56,1286.21,1366.77,4841630000,1.35503E+11,1343.38,24552
Jan 13 2018,1270.47,1432.88,1270.47,1396.42,5746760000,1.23163E+11,1351.68,20603
Jan 12 2018,1158.29,1296.04,1120.09,1273.2,5222300000,1.12263E+11,1208.07,19098
Jan 11 2018,1268.09,1337.3,1135.17,1154.93,7235900000,1.22879E+11,1236.24,20352
Jan 10 2018,1300.34,1417.38,1226.6,1255.82,9214950000,1.25976E+11,1321.99,22029
Jan 09 2018,1146,1320.98,1145.49,1299.74,7965460000,1.10999E+11,1233.24,25715
Jan 08 2018,1158.26,1266.93,1016.05,1148.53,8450970000,1.12164E+11,1141.49,24192
Jan 07 2018,1043.01,1153.17,1043.01,1153.17,5569880000,1.00981E+11,1098.09,8041
Jan 06 2018,995.15,1060.71,994.62,1041.68,4662220000,96326500000,1027.66,20428
Jan 05 2018,975.75,1075.39,956.33,997.72,6683150000,94423900000,1015.86,19427
Jan 04 2018,961.71,1045.08,946.09,980.92,6502860000,93049400000,995.59,19525
Jan 03 2018,886,974.47,868.45,962.72,5093160000,85703500000,921.46,21032
Jan 02 2018,772.35,914.83,772.35,884.44,5783350000,74695700000,843.59,18783
Jan 01 2018,755.76,782.53,742,772.64,2595760000,73075800000,762.26,20026
Dec 31 2017,712.21,760.35,710.12,756.73,2554270000,68850800000,735.24,15766
Dec 30 2017,753.82,753.82,685.23,717.26,3187780000,72856900000,719.53,16417
Dec 29 2017,740.39,770.12,729.61,753.59,2648970000,71544300000,749.87,17340
Dec 28 2017,762.21,763.32,701.19,737.02,2389150000,73637100000,732.26,17809
Dec 27 2017,774.97,789.25,738.41,762.84,2100030000,74854100000,763.83,16859
Dec 26 2017,763.37,786.79,760.93,773.84,2201160000,73717800000,773.86,15709
Dec 25 2017,698.87,782.52,698.87,765.83,2491760000,67475100000,740.69,17175
Dec 24 2017,721.77,721.77,614.92,694.15,2300550000,69671200000,668.35,15591
Dec 23 2017,681.32,763.89,679.73,719.39,2480340000,65752100000,721.81,13232
Dec 22 2017,822.64,827.68,543.76,674.86,4977710000,79374400000,685.72,15641
Dec 21 2017,820.24,880.54,792.69,821.06,3569060000,79125300000,836.62,16329
Dec 20 2017,827.52,845.06,756,819.09,3969940000,79810600000,800.53,15059
Dec 19 2017,793.9,881.94,785.34,826.82,4096550000,76552200000,833.64,13441
Dec 18 2017,721.73,803.93,689.23,794.64,3249230000,69578400000,746.58,15015
Dec 17 2017,696.24,735.83,696.24,719.98,2147390000,67106400000,716.04,15597
Dec 16 2017,686.19,718.38,680.79,696.21,2165690000,66124200000,699.59,12168
Dec 15 2017,696.38,697.13,621.06,684.45,2758710000,67090900000,659.1,12351
Dec 14 2017,700.59,753.12,664.99,695.82,3821580000,67482900000,709.06,17991
Dec 13 2017,644.91,747.99,597.8,702.77,4524540000,62105600000,672.89,17654
Dec 12 2017,522.29,657.32,504.49,651.43,5179830000,50286400000,580.9,21133
Dec 11 2017,440.36,516.97,439.1,515.14,1771440000,42389300000,478.04,19909
Dec 10 2017,472.79,472.79,429.51,441.72,1404180000,45501400000,451.15,18670
Dec 09 2017,457.34,504.15,456.25,473.5,2003850000,44005600000,480.2,16779
Dec 08 2017,434.99,466.06,422.37,456.03,2336380000,41845800000,444.22,15991
Dec 07 2017,426.37,441.4,414.41,434.41,2129570000,41007600000,427.9,15642
Dec 06 2017,462.6,462.71,420.21,428.59,1998260000,44483100000,441.46,17795
Dec 05 2017,470.29,473.56,457.66,463.28,1216720000,45212800000,465.61,20795
Dec 04 2017,466.05,474.78,453.31,470.2,1005550000,44795700000,464.04,26773
Dec 03 2017,463.7,482.81,451.85,465.85,990557000,44560500000,467.33,20182
Dec 02 2017,466.85,476.24,456.65,463.45,943650000,44853300000,466.44,17539
Dec 01 2017,445.21,472.61,428.31,466.54,1247880000,42765000000,450.46,17078
Nov 30 2017,431.21,465.5,401.24,447.11,1903040000,41411900000,433.37,20472
Nov 29 2017,473.28,522.31,425.07,427.52,2675940000,45442100000,473.69,17621
Nov 28 2017,480.52,482.48,466.35,472.9,1346500000,46127200000,474.42,22704
Nov 27 2017,471.53,493.4,468.49,480.36,1396480000,45255000000,480.94,20690
Nov 26 2017,465.97,472.72,451.61,471.33,1197780000,44712100000,462.17,22763
Nov 25 2017,475.68,485.19,461.05,466.28,1422080000,45633400000,473.12,19878
Nov 24 2017,412.5,480.97,402.76,474.91,2292830000,39564300000,441.87,23803
Nov 23 2017,381.44,425.55,376.09,410.17,1845680000,36577300000,400.82,23168
Nov 22 2017,360.31,381.42,360.15,380.65,800819000,34544000000,370.78,21303
Nov 21 2017,367.44,372.47,350.69,360.4,949912000,35220200000,361.58,21660
Nov 20 2017,354.09,372.14,353.29,366.73,807027000,33933400000,362.72,18427
Nov 19 2017,347.4,371.29,344.74,354.39,1181530000,33284900000,358.01,20334
Nov 18 2017,331.98,349.62,327.69,347.61,649639000,31800700000,338.65,18336
Nov 17 2017,330.17,334.96,327.52,332.39,621733000,31620300000,331.24,20267
Nov 16 2017,333.44,336.16,323.61,330.92,797254000,31927300000,329.88,21023
Nov 15 2017,337.96,340.91,329.81,333.36,722666000,32353200000,335.36,22397
Nov 14 2017,316.76,340.18,316.76,337.63,1069680000,30317300000,328.47,21696
Nov 13 2017,307.02,328.42,307.02,316.72,1041890000,29379000000,317.72,18786
Nov 12 2017,314.69,319.15,298.51,307.91,1613480000,30106200000,308.83,16532
Nov 11 2017,298.59,319.45,298.19,314.68,842301000,28559400000,308.82,16072
Nov 10 2017,320.67,324.72,294.54,299.25,885986000,30665200000,309.63,18178
Nov 09 2017,308.64,329.45,307.06,320.88,893250000,29509000000,318.25,23367
Nov 08 2017,294.27,318.7,293.1,309.07,967956000,28128700000,305.9,19111
Nov 07 2017,298.57,304.84,290.77,294.66,540766000,28533300000,297.8,21261
Nov 06 2017,296.43,305.42,293.72,298.89,579359000,28322700000,299.57,24220
Nov 05 2017,300.04,301.37,295.12,296.26,337658000,28661500000,298.25,16980
Nov 04 2017,305.48,305.48,295.8,300.47,416479000,29175300000,300.64,15005
Nov 03 2017,288.5,308.31,287.69,305.71,646340000,27547400000,298,23653
Nov 02 2017,290.73,293.91,281.17,287.43,904901000,27754200000,287.54,20749
Nov 01 2017,305.76,306.4,290.58,291.69,553864000,29183600000,298.49,22040
Oct 31 2017,307.38,310.55,305.88,305.88,369583000,29331500000,308.22,21056
Oct 30 2017,304.78,310.5,304.35,307.75,331442000,29077600000,307.43,22211
Oct 29 2017,296.38,313.75,296.38,305.09,551752000,28270200000,305.06,21067
Oct 28 2017,297.92,300.36,293.58,296.3,264424000,28410400000,296.97,20377
Oct 27 2017,296.51,299.26,294.06,297.42,257169000,28270100000,296.66,19606
Oct 26 2017,298.02,301.07,295.22,296.53,270273000,28408400000,298.14,22838
Oct 25 2017,298.44,301.85,290.72,297.93,325040000,28442000000,296.29,20603
Oct 24 2017,287.12,311.96,282.66,298.33,684281000,27357500000,297.31,22034
Oct 23 2017,295.1,295.75,277.57,286.95,482336000,28111400000,286.66,22407
Oct 22 2017,300.55,305.5,292.81,295.45,327387000,28624800000,299.15,26917
Oct 21 2017,303.57,303.93,291.77,300.19,408014000,28906600000,297.85,20998
Oct 20 2017,308.05,311.44,303.49,304.01,396673000,29326300000,307.47,23877
Oct 19 2017,314.54,316.71,305.83,308.09,349830000,29937900000,311.27,26704
Oct 18 2017,316.94,317.24,290.64,314.32,606114000,30160500000,303.94,27325
Oct 17 2017,333.48,333.48,311.79,317.08,509924000,31727700000,322.63,23900
Oct 16 2017,336.71,349.35,332.04,333.38,692885000,32029200000,340.7,34301
Oct 15 2017,339.53,342.72,320.43,336.6,635407000,32292100000,331.58,29405
Oct 14 2017,338.85,347.98,334.7,339.63,516562000,32222400000,341.34,51682
Oct 13 2017,304.08,348.6,299.66,338.76,1304360000,28911100000,324.13,26862
Oct 12 2017,303.5,309.15,303.29,304.14,527557000,28851200000,306.22,26792
Oct 11 2017,301.18,304.39,299.1,303.46,264146000,28626300000,301.75,23367
Oct 10 2017,297.6,306.15,293.17,299.87,359706000,28281400000,299.66,23109
Oct 09 2017,308.67,309.31,288.19,297.39,559467000,29328300000,298.75,27867
Oct 08 2017,311.06,312.54,308.03,308.61,293167000,29550900000,310.28,25922
Oct 07 2017,308.89,313.13,304.98,311.12,342205000,29340400000,309.06,31087
Oct 06 2017,295.15,308.84,294.95,308.59,318664000,28031100000,301.89,40978
Oct 05 2017,292.77,298.04,288.84,295.86,253747000,27800400000,293.44,29486
Oct 04 2017,292.75,299.39,290.89,292.66,257906000,27794100000,295.14,25156
Oct 03 2017,297.48,300.11,288.13,292.46,321680000,28238500000,294.12,35959
Oct 02 2017,302.48,302.92,294.58,297.48,339443000,28708500000,298.75,26739
Oct 01 2017,301.55,303.19,295.06,302.34,306185000,28615200000,299.12,28804
Sep 30 2017,291.48,303.96,291.11,301.46,332439000,27655200000,297.53,24371
Sep 29 2017,299.12,299.92,279.77,291.47,541375000,28375900000,289.85,21553
Sep 28 2017,306.47,307.2,295.47,299.15,501894000,29068700000,301.34,32569
Sep 27 2017,287.02,308.01,286.82,306.47,550244000,27219400000,297.41,23235
Sep 26 2017,292.35,293.75,287.02,287.44,345801000,27720000000,290.38,23949
Sep 25 2017,282.22,293.51,281.88,292.33,483161000,26755500000,287.69,22899
Sep 24 2017,286.21,292.95,278.13,282.48,571411000,27129900000,285.54,23143
Sep 23 2017,264.6,286.17,261.12,286.17,450934000,25077100000,273.64,21095
Sep 22 2017,258.11,270.54,256.22,264.31,430081000,24458400000,263.38,18618
Sep 21 2017,283.26,286.61,255.02,258.58,601266000,26836000000,270.81,21675
Sep 20 2017,282.01,290.89,278.05,283.74,421404000,26712400000,284.47,22931
Sep 19 2017,293.66,295.77,274.48,282.8,646909000,27809300000,285.12,19832
Sep 18 2017,252.23,293.5,252.23,293.5,1127750000,23881200000,272.87,21384
Sep 17 2017,245.85,257,235.24,251.75,427452000,23272500000,246.12,21316
Sep 16 2017,250.87,262.59,238.22,246.52,711737000,23742600000,250.4,19258
Sep 15 2017,215.22,258.65,195.03,250.46,1935700000,20364900000,226.84,19503
Sep 14 2017,276.59,280.84,213.91,213.91,1184590000,26166100000,247.38,22983
Sep 13 2017,291.12,291.12,260.61,277.11,921692000,27535700000,275.87,25674
Sep 12 2017,294.63,311.19,287.23,291.46,753144000,27861800000,299.21,19233
Sep 11 2017,289.75,300.69,286.69,294.53,571307000,27394400000,293.69,17549
Sep 10 2017,294.06,294.76,268.97,288.75,698326000,27797200000,281.87,18312
Sep 09 2017,296.17,299.89,287.22,294.4,528621000,27990500000,293.56,18503
Sep 08 2017,329.64,329.64,285.16,296.5,1098780000,31147200000,307.4,15866
Sep 07 2017,333.52,333.52,319.94,329.43,718624000,31507500000,326.73,17831
Sep 06 2017,313.8,334.66,313.49,334.34,1058830000,29639100000,324.08,17425
Sep 05 2017,297.57,318.57,268.29,312.99,1551050000,28100000000,293.43,20095
Sep 04 2017,347.13,347.13,279.94,295.17,1801690000,32774000000,313.53,22933
Sep 03 2017,350.23,366.49,332.23,347.48,986266000,33059800000,349.36,22034
Sep 02 2017,387.82,389.35,328.1,348.98,1483600000,36601200000,358.73,16968
Sep 01 2017,383.47,390.04,383.47,387.74,874222000,36182900000,386.75,14470
Aug 31 2017,378.44,386.14,376.35,383.04,706254000,35701500000,381.25,16469
Aug 30 2017,369.47,388.75,361.97,378.49,1333320000,34848400000,375.36,18299
Aug 29 2017,347.96,373.76,347.79,370.67,1220030000,32813200000,360.77,19004
Aug 28 2017,350.04,352.05,338.41,347.75,854319000,33002700000,345.23,20341
Aug 27 2017,334.36,347.89,334.36,347.89,633370000,31517500000,341.12,19258
Aug 26 2017,331.99,334.99,327.92,333.88,514181000,31288300000,331.46,19658
Aug 25 2017,326.11,336.4,325.8,331.92,760329000,30727900000,331.1,19902
Aug 24 2017,317.45,327.96,317.08,325.61,697665000,29904600000,322.52,22563
Aug 23 2017,315.27,324.21,314.54,317.52,811990000,29691900000,319.38,18117
Aug 22 2017,321.06,327.36,297.91,314.79,1336400000,30229900000,312.63,19335
Aug 21 2017,300.48,347.05,297.23,321.59,2448970000,28285500000,322.14,25436
